employee_id,department,project,job_level,employment_type,year,month,year_month,base_salary,overtime_hours,overtime_cost,allowance_cost,bonus_cost,total_cost
1,HR,Infrastructure,Junior,Full-Time,2023,1,2023-01,4966.0,0,0.0,1021.66,0.0,5987.66
1,HR,Infrastructure,Junior,Full-Time,2023,2,2023-02,4966.0,0,0.0,836.5,0.0,5802.5
1,HR,Infrastructure,Junior,Full-Time,2023,3,2023-03,4966.0,31,1218.84,1117.33,0.0,7302.17
1,HR,Infrastructure,Junior,Full-Time,2023,4,2023-04,4966.0,18,747.14,977.42,0.0,6690.57
1,HR,Infrastructure,Junior,Full-Time,2023,5,2023-05,4966.0,0,0.0,1160.34,0.0,6126.34
1,HR,Infrastructure,Junior,Full-Time,2023,6,2023-06,5214.3,0,0.0,1154.48,0.0,6368.78
1,HR,Infrastructure,Junior,Full-Time,2023,7,2023-07,5214.3,0,0.0,1033.0,0.0,6247.3
1,HR,Infrastructure,Junior,Full-Time,2023,8,2023-08,5214.3,0,0.0,835.84,0.0,6050.14
1,HR,Infrastructure,Junior,Full-Time,2023,9,2023-09,4966.0,0,0.0,1118.96,0.0,6084.96
1,HR,Infrastructure,Junior,Full-Time,2023,10,2023-10,4966.0,18,788.29,947.88,0.0,6702.17
1,HR,Infrastructure,Junior,Full-Time,2023,11,2023-11,4966.0,27,1223.45,1175.45,0.0,7364.9
1,HR,Infrastructure,Junior,Full-Time,2023,12,2023-12,4966.0,0,0.0,842.29,0.0,5808.29
1,HR,Infrastructure,Junior,Full-Time,2024,1,2024-01,4966.0,0,0.0,1027.69,0.0,5993.69
1,HR,Infrastructure,Junior,Full-Time,2024,2,2024-02,4966.0,0,0.0,1102.86,0.0,6068.86
1,HR,Infrastructure,Junior,Full-Time,2024,3,2024-03,4966.0,0,0.0,1044.45,0.0,6010.45
1,HR,Infrastructure,Junior,Full-Time,2024,4,2024-04,4966.0,0,0.0,1213.89,0.0,6179.89
1,HR,Infrastructure,Junior,Full-Time,2024,5,2024-05,4966.0,13,533.93,1190.02,0.0,6689.95
1,HR,Infrastructure,Junior,Full-Time,2024,6,2024-06,5214.3,6,280.39,1224.38,0.0,6719.08
1,HR,Infrastructure,Junior,Full-Time,2024,7,2024-07,5214.3,18,818.77,1001.89,0.0,7034.95
1,HR,Infrastructure,Junior,Full-Time,2024,8,2024-08,5214.3,0,0.0,960.38,0.0,6174.68
1,HR,Infrastructure,Junior,Full-Time,2024,9,2024-09,4966.0,1,41.61,761.9,0.0,5769.51
1,HR,Infrastructure,Junior,Full-Time,2024,10,2024-10,4966.0,0,0.0,1129.19,0.0,6095.19
1,HR,Infrastructure,Junior,Full-Time,2024,11,2024-11,4966.0,0,0.0,853.91,0.0,5819.91
1,HR,Infrastructure,Junior,Full-Time,2024,12,2024-12,4966.0,0,0.0,1025.86,0.0,5991.86
2,Sales,Client Support,Mid,Full-Time,2023,1,2023-01,11223.0,16,1478.26,2291.33,0.0,14992.59
2,Sales,Client Support,Mid,Full-Time,2023,2,2023-02,11223.0,0,0.0,1839.85,0.0,13062.85
2,Sales,Client Support,Mid,Full-Time,2023,3,2023-03,11223.0,0,0.0,2273.43,0.0,13496.43
2,Sales,Client Support,Mid,Full-Time,2023,4,2023-04,11223.0,22,2192.52,2606.64,0.0,16022.15
2,Sales,Client Support,Mid,Full-Time,2023,5,2023-05,11223.0,0,0.0,2242.46,0.0,13465.46
2,Sales,Client Support,Mid,Full-Time,2023,6,2023-06,11784.15,36,3746.09,2745.4,0.0,18275.64
2,Sales,Client Support,Mid,Full-Time,2023,7,2023-07,11784.15,21,1986.27,2828.22,0.0,16598.63
2,Sales,Client Support,Mid,Full-Time,2023,8,2023-08,11784.15,0,0.0,2475.28,0.0,14259.43
2,Sales,Client Support,Mid,Full-Time,2023,9,2023-09,11223.0,0,0.0,2709.69,0.0,13932.69
2,Sales,Client Support,Mid,Full-Time,2023,10,2023-10,11223.0,0,0.0,2265.83,0.0,13488.83
2,Sales,Client Support,Mid,Full-Time,2023,11,2023-11,11223.0,0,0.0,2360.37,9980.56,23563.93
2,Sales,Client Support,Mid,Full-Time,2023,12,2023-12,11223.0,35,3510.11,2016.91,0.0,16750.02
2,Sales,Client Support,Mid,Full-Time,2024,1,2024-01,11223.0,0,0.0,2734.85,0.0,13957.85
2,Sales,Client Support,Mid,Full-Time,2024,2,2024-02,11223.0,0,0.0,1718.45,0.0,12941.45
2,Sales,Client Support,Mid,Full-Time,2024,3,2024-03,11223.0,34,3482.85,2633.37,0.0,17339.22
2,Sales,Client Support,Mid,Full-Time,2024,4,2024-04,11223.0,0,0.0,2383.02,0.0,13606.02
2,Sales,Client Support,Mid,Full-Time,2024,5,2024-05,11223.0,0,0.0,2077.98,0.0,13300.98
2,Sales,Client Support,Mid,Full-Time,2024,6,2024-06,11784.15,0,0.0,2472.65,0.0,14256.8
2,Sales,Client Support,Mid,Full-Time,2024,7,2024-07,11784.15,0,0.0,1859.26,0.0,13643.41
2,Sales,Client Support,Mid,Full-Time,2024,8,2024-08,11784.15,29,2672.65,1889.11,0.0,16345.91
2,Sales,Client Support,Mid,Full-Time,2024,9,2024-09,11223.0,0,0.0,2763.21,0.0,13986.21
2,Sales,Client Support,Mid,Full-Time,2024,10,2024-10,11223.0,0,0.0,2268.51,0.0,13491.51
2,Sales,Client Support,Mid,Full-Time,2024,11,2024-11,11223.0,15,1544.81,2505.23,0.0,15273.04
2,Sales,Client Support,Mid,Full-Time,2024,12,2024-12,11223.0,0,0.0,2636.5,11104.32,24963.82
3,Finance,Infrastructure,Mid,Contract,2023,1,2023-01,10726.0,0,0.0,2327.45,0.0,13053.45
3,Finance,Infrastructure,Mid,Contract,2023,2,2023-02,10726.0,15,1489.55,1802.59,0.0,14018.14
3,Finance,Infrastructure,Mid,Contract,2023,3,2023-03,10726.0,0,0.0,1645.31,0.0,12371.31
3,Finance,Infrastructure,Mid,Contract,2023,4,2023-04,10726.0,0,0.0,2600.41,0.0,13326.41
3,Finance,Infrastructure,Mid,Contract,2023,5,2023-05,10726.0,0,0.0,2117.54,0.0,12843.54
3,Finance,Infrastructure,Mid,Contract,2023,6,2023-06,11262.3,0,0.0,2048.73,0.0,13311.03
3,Finance,Infrastructure,Mid,Contract,2023,7,2023-07,11262.3,0,0.0,2360.88,0.0,13623.18
3,Finance,Infrastructure,Mid,Contract,2023,8,2023-08,11262.3,33,3417.49,2286.55,0.0,16966.34
3,Finance,Infrastructure,Mid,Contract,2023,9,2023-09,10726.0,0,0.0,2222.89,0.0,12948.89
3,Finance,Infrastructure,Mid,Contract,2023,10,2023-10,10726.0,0,0.0,2318.59,0.0,13044.59
3,Finance,Infrastructure,Mid,Contract,2023,11,2023-11,10726.0,0,0.0,2066.7,0.0,12792.7
3,Finance,Infrastructure,Mid,Contract,2023,12,2023-12,10726.0,0,0.0,2671.14,7352.38,20749.52
3,Finance,Infrastructure,Mid,Contract,2024,1,2024-01,10726.0,0,0.0,1684.01,0.0,12410.01
3,Finance,Infrastructure,Mid,Contract,2024,2,2024-02,10726.0,28,2706.33,2040.01,0.0,15472.34
3,Finance,Infrastructure,Mid,Contract,2024,3,2024-03,10726.0,0,0.0,2546.01,0.0,13272.01
3,Finance,Infrastructure,Mid,Contract,2024,4,2024-04,10726.0,0,0.0,2057.0,0.0,12783.0
3,Finance,Infrastructure,Mid,Contract,2024,5,2024-05,10726.0,0,0.0,1865.01,0.0,12591.01
3,Finance,Infrastructure,Mid,Contract,2024,6,2024-06,11262.3,13,1211.77,2649.82,0.0,15123.89
3,Finance,Infrastructure,Mid,Contract,2024,7,2024-07,11262.3,0,0.0,2001.61,0.0,13263.91
3,Finance,Infrastructure,Mid,Contract,2024,8,2024-08,11262.3,0,0.0,1812.63,0.0,13074.93
3,Finance,Infrastructure,Mid,Contract,2024,9,2024-09,10726.0,0,0.0,2634.75,0.0,13360.75
3,Finance,Infrastructure,Mid,Contract,2024,10,2024-10,10726.0,0,0.0,2240.18,0.0,12966.18
3,Finance,Infrastructure,Mid,Contract,2024,11,2024-11,10726.0,0,0.0,2253.32,0.0,12979.32
3,Finance,Infrastructure,Mid,Contract,2024,12,2024-12,10726.0,0,0.0,1678.6,0.0,12404.6
4,Sales,Client Support,Mid,Full-Time,2023,1,2023-01,7884.0,0,0.0,1219.61,0.0,9103.61
4,Sales,Client Support,Mid,Full-Time,2023,2,2023-02,7884.0,0,0.0,1937.31,0.0,9821.31
4,Sales,Client Support,Mid,Full-Time,2023,3,2023-03,7884.0,0,0.0,1679.12,0.0,9563.12
4,Sales,Client Support,Mid,Full-Time,2023,4,2023-04,7884.0,8,584.18,1966.99,0.0,10435.17
4,Sales,Client Support,Mid,Full-Time,2023,5,2023-05,7884.0,34,2411.77,1731.34,0.0,12027.11
4,Sales,Client Support,Mid,Full-Time,2023,6,2023-06,8278.2,31,2190.68,1757.41,0.0,12226.29
4,Sales,Client Support,Mid,Full-Time,2023,7,2023-07,8278.2,0,0.0,1982.56,0.0,10260.76
4,Sales,Client Support,Mid,Full-Time,2023,8,2023-08,8278.2,0,0.0,1565.55,0.0,9843.75
4,Sales,Client Support,Mid,Full-Time,2023,9,2023-09,7884.0,28,2031.18,1936.04,0.0,11851.21
4,Sales,Client Support,Mid,Full-Time,2023,10,2023-10,7884.0,0,0.0,1699.19,0.0,9583.19
4,Sales,Client Support,Mid,Full-Time,2023,11,2023-11,7884.0,0,0.0,1504.62,0.0,9388.62
4,Sales,Client Support,Mid,Full-Time,2023,12,2023-12,7884.0,4,248.78,1602.5,0.0,9735.28
4,Sales,Client Support,Mid,Full-Time,2024,1,2024-01,7884.0,27,1688.35,1853.69,0.0,11426.04
4,Sales,Client Support,Mid,Full-Time,2024,2,2024-02,7884.0,0,0.0,1649.65,0.0,9533.65
4,Sales,Client Support,Mid,Full-Time,2024,3,2024-03,7884.0,0,0.0,1717.15,0.0,9601.15
4,Sales,Client Support,Mid,Full-Time,2024,4,2024-04,7884.0,0,0.0,1875.31,0.0,9759.31
4,Sales,Client Support,Mid,Full-Time,2024,5,2024-05,7884.0,0,0.0,1853.2,0.0,9737.2
